SampleID	Initial_weight	inal_weight	Race	Mother	Mother_Race	ather	eed_version	Birth	Slaughter	Age(days)	CH4_daily_mean	CH4_ia	iae	Initial_Group	CH4_group	Biome	Diet	Sample_type	Ca mg/kg	e mg/kg	K mg/kg	Mg mg/kg	Mn mg/kg	Na mg/kg	P mg/kg	Zn mg/kg	CAR	CHR	GDP
238	368	524	NY	350	NX	2418	5.7	09/11/14	16/11/16	738	173.37	56.98	2	pesado	Medium_high	Rumen	vencional	Rumen_vencional	2280	527	8.65	544	40.1	16.68	6.2	67.9	0.592381978	-0.3132450948	
239	280.5	426.5	NY	367	NX	159	7.1	14/11/14	16/11/16	733	186.64	33.74	2	leve	Medium_high	Rumen	produto	Rumen_produto	6720	17799	6.96	869	63.9	17.1	8.9	92.4	0.8351945829	-0.05859438019	
240	305	424	NY	317	NX	501	6.3	21/11/14	16/11/16	726	157.54	77.17	2	leve	Medium_low	Rumen	produto	Rumen_produto	8235	9591	6.72	455	61.4	20.9	7.5	72.3	-0.3462991871	0.7006350238	
242	316.5	428	NY	370	NX	2941	6.5	30/11/14	17/10/16	687	178.71	34.68	1.91	leve	Medium_high	Rumen	vencional	Rumen_vencional	4091	755	5.55	188	31.4	19.2	7.2	59.3	0.4086948298	-2.681033464	
244	339	434	NY	366	NX	67	6.5	14/12/14	17/10/16	673	168.35	42.17	1.84	pesado	Medium_high	Rumen	vencional	Rumen_vencional	4779	2374	7.96	338	48.9	23	8.7	62.5	-0.6250101732	-0.2728984922	
246	349.5	477	NY	285	NX	1769	7.4	24/12/14	16/11/16	693	161.67	63.95	1.91	pesado	Medium_low	Rumen	produto	Rumen_produto	6061	755	7.98	770	57.8	18.4	8.1	91.9	-0.2913145057	0.3905822613	
464	313	481	NX	1211	NI	1849	3.3	28/10/14	16/11/16	750	170	N/A	2	leve	Medium_high	Rumen	produto	Rumen_produto	10425	720	9.77	531	59.9	23.9	10.2	87.9	-1.375300164	0.828306224	
466	345	442	NX	1271	NI	572	8.6	01/11/14	17/10/16	716	135.07	45.94	1.91	pesado	Low	Rumen	vencional	Rumen_vencional	8724	1702	6.41	431	52.1	22.9	9.55	78	0.2029431793	-0.3182493425	
468	256.5	384	NX	1232	NI	185	4.4	05/11/14	16/11/16	742	164.52	47.46	2	leve	Medium_low	Rumen	produto	Rumen_produto	35553	39623	7.57	982	106.8	13.4	11.1	0	0.1870177174	1.04049289	
470	367.5	488	NX	1118	NI	3125	8.7	07/11/14	17/10/16	710	154.59	75.06	1.91	pesado	Medium_low	Rumen	produto	Rumen_produto	5546	15010	6.23	346	53.3	20.9	7.2	54.4	0.6097632162	0.4323553856	
474	368.5	505	NX	281	NX	7827	6.7	11/11/14	17/10/16	706	210.34	66.97	1.91	pesado	High	Rumen	vencional	Rumen_vencional	5957	755	6.27	311	45.6	22.2	8.7	75.7	-0.2070386221	-1.113006163	
479	348.5	454.5	NX	1140	NI	12345	8	12/11/14	17/10/16	705	137.3	39.74	1.91	pesado	Low	Rumen	produto	Rumen_produto	12816	3760	6.52	434	71.5	17.8	7.5	63.4	-0.3069189156	1.084458973	
482	365.5	465.5	NX	745	NI	2971	5.5	12/11/14	17/10/16	705	201.23	46.69	1.91	pesado	High	Rumen	vencional	Rumen_vencional	0	0	0	0	0	0	0	0	-1.503609654	-0.663971677	
483	352.5	468.5	NX	225	NX	1029	6.6	12/11/14	17/10/16	705	199.54	52.91	1.91	leve	High	Rumen	vencional	Rumen_vencional	4352	669	5.75	236	31.8	21.2	6.8	50.8	0.6890240677	-1.168912898	
490	372	497.5	NX	1230	NI	555	7.1	15/11/14	17/10/16	702	161.25	58.3	1.91	pesado	Medium_low	Rumen	produto	Rumen_produto	19080	9265	7.79	460	89	23.8	9.4	67	0.3681607038	0.1846172583	
491	312	478.5	NX	247	NX	501	6.7	16/11/14	16/11/16	731	162.3	59.75	2	leve	Medium_low	Rumen	produto	Rumen_produto	8289	7953	7.7	537	62.5	21.8	9.2	83.8	-0.05805734634	0.2938093831	
492	340.5	490	NX	656	NI	649	6	17/11/14	16/11/16	730	201.69	46.6	2	leve	High	Rumen	vencional	Rumen_vencional	7995	653	5.14	349	36.1	19.2	7.5	46.4	-0.1737409317	0.5865247744	
494	329	443	NX	1263	NI	1849	5.1	17/11/14	17/10/16	700	194.75	38.54	1.91	leve	High	Rumen	produto	Rumen_produto	11293	17131	6.35	453	59	23.2	10.7	76.4	0.3905719761	-1.031745289	
499	325	447.5	NX	1214	NI	12345	5.6	25/11/14	16/11/16	722	160.67	52.6	2	pesado	Medium_low	Rumen	produto	Rumen_produto	15522	2494	8.75	559	87.3	21.5	12.5	105.7	-0.9530523274	0.5077790315	
500	391	529	NX	256	NI	67	5.6	27/11/14	16/11/16	720	210.24	77.43	1.97	pesado	High	Rumen	vencional	Rumen_vencional	2693.1	4700	7.43	373	37.3	18	6.71	63	-0.418540827	-0.8874511432	
502	286	427	NX	1222	NI	46	4.7	27/11/14	16/11/16	720	149	0	1.97	leve	Low	Rumen	vencional	Rumen_vencional	7759	3931	9.62	541	74.5	26.1	13.8	90.9	-0.855619176	-2.302236045	
505	317	449	NX	1147	NI	2456	6.2	30/11/14	16/11/16	717	164.89	48.58	1.96	leve	Medium_high	Rumen	vencional	Rumen_vencional	2812	1194	7.51	479	43.3	18.9	6.5	59.9	-0.652758126	-1.437800656	
506	335	449	NX	651	NI	5159	6.9	02/12/14	17/10/16	685	176.82	54.84	1.84	leve	Medium_high	Rumen	vencional	Rumen_vencional	5377	9117	9.03	557	59.9	22.8	7.91	86.5	0.5256428947	1.466834274	
507	283	450.5	NX	1210	NI	243	8.1	02/12/14	16/11/16	715	217.03	60.53	1.91	leve	High	Rumen	produto	Rumen_produto	0	0	0	0	0	0	0	0	1.486213008	-0.8229206114	
510	324	460.5	NX	1146	NI	2237	5.6	04/12/14	16/11/16	713	181.87	55.56	1.91	leve	Medium_high	Rumen	vencional	Rumen_vencional	4747	2644	12.31	745	54.9	29.9	9.9	59.5	-0.7907806775	0.6661349424	
511	365	498	NX	278	NR	12345	3.9	04/12/14	16/11/16	713	210.48	70.68	1.91	pesado	High	Rumen	vencional	Rumen_vencional	5247	670	8.53	469	45.5	23.7	9	73.5	-0.7244664118	-0.7557077379	
514	268.5	361	NX	628	NI	12345	6.6	07/12/14	16/11/16	710	191.81	56.02	1.91	leve	Medium_high	Rumen	vencional	Rumen_vencional	5100	896	10.8	520	67	19.9	9.2	79.8	-0.5107803999	-1.67039997	
515	297	434.5	NX	1255	NI	3125	5.9	07/12/14	17/10/16	680	206.19	53.95	1.84	leve	High	Rumen	vencional	Rumen_vencional	3656	758	7.75	635	56.5	18.3	8	80.1	0.2959754938	-0.2831439357	
516	310	452.5	NX	1191	NI	2938	5.4	07/12/14	16/11/16	710	150.51	37.45	1.91	leve	Low	Rumen	produto	Rumen_produto	13071	3532	8.16	721	65.8	21	9.79	80.2	-0.4839488671	0.9080296874	
517	337	446.5	NX	209	NY	12345	8.5	14/12/14	17/10/16	673	156.89	32.16	1.84	pesado	Medium_low	Rumen	vencional	Rumen_vencional	8044	739	6.83	307	51.4	22.9	8.1	72.9	0.483946202	-0.7691929358	
520	278.5	411.5	NX	606	NI	67	4.5	18/12/14	17/10/16	669	201.08	34.17	1.84	leve	High	Rumen	produto	Rumen_produto	3053	713	9.06	349	40.5	25.1	9.12	70.2	-1.212927025	1.078426609	
521	328.5	450.5	NX	1200	NI	2971	4.3	20/12/14	17/10/16	667	152.2	68.05	1.84	pesado	Medium_low	Rumen	produto	Rumen_produto	5297	630	7.29	518	45.5	20.6	7.3	81.7	-1.402594681	0.9567199005	
523	255	393	NX	1262	NI	1029	5.9	24/12/14	16/11/16	693	176.48	40.73	1.91	leve	Medium_high	Rumen	vencional	Rumen_vencional	7474	12757	8.67	549	139.9	20.3	8.27	85.9	-0.05850522859	-0.5296095971	
1460	319	455	NI	825	NI	243	5.6	06/11/14	16/11/16	741	201.35	52.65	2	leve	High	Rumen	vencional	Rumen_vencional	2785	1417	6.63	4	41.7	20.5	7.7	72.6	-1.094748658	0.8058752308	
1462	340.5	464	NI	993	NI	452	7.7	09/11/14	17/10/16	708	120.64	39.55	1.91	pesado	Low	Rumen	produto	Rumen_produto	11358	3643	9.63	529	63.4	21.9	13	74.7	0.1235734526	0.5354857173	
1464	390	502	NI	827	NI	243	11.6	08/11/14	17/10/16	709	159.32	50.5	1.91	pesado	Medium_low	Rumen	produto	Rumen_produto	5222	1622	7.63	378	45.4	18.79	76	56.5	0.6197630694	0.1055714549	
1468	325	444	NI	961	NI	24	9.4	10/11/14	17/10/16	707	145.93	47.5	1.91	pesado	Low	Rumen	vencional	Rumen_vencional	4717	1453	6.74	285	37.9	27	7.9	54	1.46023774	-0.4084752018	
1476	357.5	455	NI	864	NI	185	9.1	15/11/14	17/10/16	702	129.03	56.04	1.91	pesado	Low	Rumen	vencional	Rumen_vencional	4303	1259	7.1	320	35	21.6	7.3	64.8	1.347020717	-0.9042947788	
1479	349.5	476.5	NI	1076	NI	2971	4.8	17/11/14	17/10/16	700	169.32	54.2	1.91	pesado	Medium_high	Rumen	produto	Rumen_produto	6514	2932	6.98	480	61.65	18.9	8.1	63.7	-0.9264393716	0.7554932049	
1480	268.5	393	NI	942	NI	67	6.5	17/11/14	16/11/16	730	195.1	70.62	2	leve	High	Rumen	vencional	Rumen_vencional	4915	1029	4.86	311	38.4	17.8	6.7	67	0.1864524749	0.2529061863	
1481	350	459.5	NI	649	NI	206	5.3	17/11/14	16/11/16	730	176	56.32	2	pesado	Medium_high	Rumen	vencional	Rumen_vencional	4756	438	6.86	247	39	22.8	7.9	53.8	-2.101582606	-0.4912241471	
1485	340	487.5	NI	1074	NI	2938	8.8	24/11/14	17/10/16	693	133.64	40.2	1.91	pesado	Low	Rumen	produto	Rumen_produto	7845	1189	9.18	421	45.6	22.8	9.3	71.9	2.950959543	0.6284147098	
1493	338	448	NI	955	NI	609	6.7	04/12/14	17/10/16	683	141.27	42.87	1.84	pesado	Low	Rumen	vencional	Rumen_vencional	5112	9166	6.62	265	41.6	19.4	7.3	73	0.2121130039	-0.6195475014	
1494	262.5	370.5	NI	829	NI	2938	7.8	04/12/14	17/10/16	683	152	30.22	1.84	leve	Low	Rumen	produto	Rumen_produto	11237	9287	6.82	424	44.5	20.2	10.5	56.5	0.8229337102	0.07204717186	
1495	287	481.5	NI	1047	NI	2951	4.3	04/12/14	16/11/16	713	193.65	49.55	1.91	leve	Medium_high	Rumen	produto	Rumen_produto	5651	731	7.19	619	49	19.1	9.1	83.1	0.2336305252	1.703776652	
1496	340.5	464	NI	597	NI	1029	6.6	07/12/14	17/10/16	680	88.52	0	1.84	pesado	Low	Rumen	produto	Rumen_produto	6726	1176	5.82	442	54.9	19.6	8.1	61.7	0.59844382	1.086048813	
1498	324.5	516	NI	900	NI	977	3.1	07/12/14	16/11/16	710	183.68	71.71	1.91	leve	Medium_high	Rumen	produto	Rumen_produto	6757	642	8.79	814	56.7	23.3	10.4	92.5	-1.112121202	0.7773570623	
1500	340	443.5	NI	884	NI	7827	5.3	10/12/14	17/10/16	677	151.66	43.03	1.84	pesado	Low	Rumen	vencional	Rumen_vencional	11760	2986	7.79	396	54.5	26.2	9.8	61	-0.6340084707	-0.8621673832	
1501	336.5	536	NI	637	NI	2971	8.1	11/12/14	16/11/16	706	156.4	44.07	1.91	pesado	Medium_low	Rumen	produto	Rumen_produto	5054	975	6.89	599	53.8	16	8	79.1	1.896500411	0.8227976078	
1502	297.5	478	NI	790	NI	452	4.8	15/12/14	16/11/16	702	223.58	45.2	1.91	leve	High	Rumen	vencional	Rumen_vencional	3777	920	7.57	787	53.5	14.2	7.01	95.4	-0.1992413708	0.5214293383	
1503	363.5	484.5	NI	666	NI	2237	6.4	04/01/15	17/10/16	652	157.81	72.5	1.68	pesado	Medium_low	Rumen	produto	Rumen_produto	8545	1971	7.53	591	83.8	22.7	10.6	70.9	-0.1005104713	0.02785356114	
1504	279.5	446	NI	1274	NI	1	7.9	01/02/15	16/11/16	654	139.29	30.37	1.68	leve	Low	Rumen	produto	Rumen_produto	6659	1015	5.94	425	47	15.7	7.8	75.7	1.592757081	1.145065117	
238	368	524	NY	350	NX	2418	5.7	09/11/14	16/11/16	738	173.37	56.98	2	pesado	Medium_high	eces	vencional	eces_vencional	2280	527	8.65	544	40.1	16.68	6.2	67.9	0.592381978	-0.3132450948	
239	280.5	426.5	NY	367	NX	159	7.1	14/11/14	16/11/16	733	186.64	33.74	2	leve	Medium_high	eces	produto	eces_produto	6720	17799	6.96	869	63.9	17.1	8.9	92.4	0.8351945829	-0.05859438019	
240	305	424	NY	317	NX	501	6.3	21/11/14	16/11/16	726	157.54	77.17	2	leve	Medium_low	eces	produto	eces_produto	8235	9591	6.72	455	61.4	20.9	7.5	72.3	-0.3462991871	0.7006350238	
242	316.5	428	NY	370	NX	2941	6.5	30/11/14	17/10/16	687	178.71	34.68	1.91	leve	Medium_high	eces	vencional	eces_vencional	4091	755	5.55	188	31.4	19.2	7.2	59.3	0.4086948298	-2.681033464	
244	339	434	NY	366	NX	67	6.5	14/12/14	17/10/16	673	168.35	42.17	1.84	pesado	Medium_high	eces	vencional	eces_vencional	4779	2374	7.96	338	48.9	23	8.7	62.5	-0.6250101732	-0.2728984922	
246	349.5	477	NY	285	NX	1769	7.4	24/12/14	16/11/16	693	161.67	63.95	1.91	pesado	Medium_low	eces	produto	eces_produto	6061	755	7.98	770	57.8	18.4	8.1	91.9	-0.2913145057	0.3905822613	
464	313	481	NX	1211	NI	1849	3.3	28/10/14	16/11/16	750	170	N/A	2	leve	Medium_high	eces	produto	eces_produto	10425	720	9.77	531	59.9	23.9	10.2	87.9	-1.375300164	0.828306224	
466	345	442	NX	1271	NI	572	8.6	01/11/14	17/10/16	716	135.07	45.94	1.91	pesado	Low	eces	vencional	eces_vencional	8724	1702	6.41	431	52.1	22.9	9.55	78	0.2029431793	-0.3182493425	
468	256.5	384	NX	1232	NI	185	4.4	05/11/14	16/11/16	742	164.52	47.46	2	leve	Medium_low	eces	produto	eces_produto	35553	39623	7.57	982	106.8	13.4	11.1	0	0.1870177174	1.04049289	
470	367.5	488	NX	1118	NI	3125	8.7	07/11/14	17/10/16	710	154.59	75.06	1.91	pesado	Medium_low	eces	produto	eces_produto	5546	15010	6.23	346	53.3	20.9	7.2	54.4	0.6097632162	0.4323553856	
474	368.5	505	NX	281	NX	7827	6.7	11/11/14	17/10/16	706	210.34	66.97	1.91	pesado	High	eces	vencional	eces_vencional	5957	755	6.27	311	45.6	22.2	8.7	75.7	-0.2070386221	-1.113006163	
479	348.5	454.5	NX	1140	NI	12345	8	12/11/14	17/10/16	705	137.3	39.74	1.91	pesado	Low	eces	produto	eces_produto	12816	3760	6.52	434	71.5	17.8	7.5	63.4	-0.3069189156	1.084458973	
482	365.5	465.5	NX	745	NI	2971	5.5	12/11/14	17/10/16	705	201.23	46.69	1.91	pesado	High	eces	vencional	eces_vencional	0	0	0	0	0	0	0	0	-1.503609654	-0.663971677	
483	352.5	468.5	NX	225	NX	1029	6.6	12/11/14	17/10/16	705	199.54	52.91	1.91	leve	High	eces	vencional	eces_vencional	4352	669	5.75	236	31.8	21.2	6.8	50.8	0.6890240677	-1.168912898	
490	372	497.5	NX	1230	NI	555	7.1	15/11/14	17/10/16	702	161.25	58.3	1.91	pesado	Medium_low	eces	produto	eces_produto	19080	9265	7.79	460	89	23.8	9.4	67	0.3681607038	0.1846172583	
491	312	478.5	NX	247	NX	501	6.7	16/11/14	16/11/16	731	162.3	59.75	2	leve	Medium_low	eces	produto	eces_produto	8289	7953	7.7	537	62.5	21.8	9.2	83.8	-0.05805734634	0.2938093831	
492	340.5	490	NX	656	NI	649	6	17/11/14	16/11/16	730	201.69	46.6	2	leve	High	eces	vencional	eces_vencional	7995	653	5.14	349	36.1	19.2	7.5	46.4	-0.1737409317	0.5865247744	
494	329	443	NX	1263	NI	1849	5.1	17/11/14	17/10/16	700	194.75	38.54	1.91	leve	High	eces	produto	eces_produto	11293	17131	6.35	453	59	23.2	10.7	76.4	0.3905719761	-1.031745289	
499	325	447.5	NX	1214	NI	12345	5.6	25/11/14	16/11/16	722	160.67	52.6	2	pesado	Medium_low	eces	produto	eces_produto	15522	2494	8.75	559	87.3	21.5	12.5	105.7	-0.9530523274	0.5077790315	
500	391	529	NX	256	NI	67	5.6	27/11/14	16/11/16	720	210.24	77.43	1.97	pesado	High	eces	vencional	eces_vencional	2693.1	4700	7.43	373	37.3	18	6.71	63	-0.418540827	-0.8874511432	
502	286	427	NX	1222	NI	46	4.7	27/11/14	16/11/16	720	149	0	1.97	leve	Low	eces	vencional	eces_vencional	7759	3931	9.62	541	74.5	26.1	13.8	90.9	-0.855619176	-2.302236045	
505	317	449	NX	1147	NI	2456	6.2	30/11/14	16/11/16	717	164.89	48.58	1.96	leve	Medium_high	eces	vencional	eces_vencional	2812	1194	7.51	479	43.3	18.9	6.5	59.9	-0.652758126	-1.437800656	
506	335	449	NX	651	NI	5159	6.9	02/12/14	17/10/16	685	176.82	54.84	1.84	leve	Medium_high	eces	vencional	eces_vencional	5377	9117	9.03	557	59.9	22.8	7.91	86.5	0.5256428947	1.466834274	
507	283	450.5	NX	1210	NI	243	8.1	02/12/14	16/11/16	715	217.03	60.53	1.91	leve	High	eces	produto	eces_produto	0	0	0	0	0	0	0	0	1.486213008	-0.8229206114	
510	324	460.5	NX	1146	NI	2237	5.6	04/12/14	16/11/16	713	181.87	55.56	1.91	leve	Medium_high	eces	vencional	eces_vencional	4747	2644	12.31	745	54.9	29.9	9.9	59.5	-0.7907806775	0.6661349424	
511	365	498	NX	278	NR	12345	3.9	04/12/14	16/11/16	713	210.48	70.68	1.91	pesado	High	eces	vencional	eces_vencional	5247	670	8.53	469	45.5	23.7	9	73.5	-0.7244664118	-0.7557077379	
514	268.5	361	NX	628	NI	12345	6.6	07/12/14	16/11/16	710	191.81	56.02	1.91	leve	Medium_high	eces	vencional	eces_vencional	5100	896	10.8	520	67	19.9	9.2	79.8	-0.5107803999	-1.67039997	
515	297	434.5	NX	1255	NI	3125	5.9	07/12/14	17/10/16	680	206.19	53.95	1.84	leve	High	eces	vencional	eces_vencional	3656	758	7.75	635	56.5	18.3	8	80.1	0.2959754938	-0.2831439357	
516	310	452.5	NX	1191	NI	2938	5.4	07/12/14	16/11/16	710	150.51	37.45	1.91	leve	Low	eces	produto	eces_produto	13071	3532	8.16	721	65.8	21	9.79	80.2	-0.4839488671	0.9080296874	
517	337	446.5	NX	209	NY	12345	8.5	14/12/14	17/10/16	673	156.89	32.16	1.84	pesado	Medium_low	eces	vencional	eces_vencional	8044	739	6.83	307	51.4	22.9	8.1	72.9	0.483946202	-0.7691929358	
520	278.5	411.5	NX	606	NI	67	4.5	18/12/14	17/10/16	669	201.08	34.17	1.84	leve	High	eces	produto	eces_produto	3053	713	9.06	349	40.5	25.1	9.12	70.2	-1.212927025	1.078426609	
521	328.5	450.5	NX	1200	NI	2971	4.3	20/12/14	17/10/16	667	152.2	68.05	1.84	pesado	Medium_low	eces	produto	eces_produto	5297	630	7.29	518	45.5	20.6	7.3	81.7	-1.402594681	0.9567199005	
523	255	393	NX	1262	NI	1029	5.9	24/12/14	16/11/16	693	176.48	40.73	1.91	leve	Medium_high	eces	vencional	eces_vencional	7474	12757	8.67	549	139.9	20.3	8.27	85.9	-0.05850522859	-0.5296095971	
1460	319	455	NI	825	NI	243	5.6	06/11/14	16/11/16	741	201.35	52.65	2	leve	High	eces	vencional	eces_vencional	2785	1417	6.63	4	41.7	20.5	7.7	72.6	-1.094748658	0.8058752308	
1462	340.5	464	NI	993	NI	452	7.7	09/11/14	17/10/16	708	120.64	39.55	1.91	pesado	Low	eces	produto	eces_produto	11358	3643	9.63	529	63.4	21.9	13	74.7	0.1235734526	0.5354857173	
1464	390	502	NI	827	NI	243	11.6	08/11/14	17/10/16	709	159.32	50.5	1.91	pesado	Medium_low	eces	produto	eces_produto	5222	1622	7.63	378	45.4	18.79	76	56.5	0.6197630694	0.1055714549	
1468	325	444	NI	961	NI	24	9.4	10/11/14	17/10/16	707	145.93	47.5	1.91	pesado	Low	eces	vencional	eces_vencional	4717	1453	6.74	285	37.9	27	7.9	54	1.46023774	-0.4084752018	
1476	357.5	455	NI	864	NI	185	9.1	15/11/14	17/10/16	702	129.03	56.04	1.91	pesado	Low	eces	vencional	eces_vencional	4303	1259	7.1	320	35	21.6	7.3	64.8	1.347020717	-0.9042947788	
1479	349.5	476.5	NI	1076	NI	2971	4.8	17/11/14	17/10/16	700	169.32	54.2	1.91	pesado	Medium_high	eces	produto	eces_produto	6514	2932	6.98	480	61.65	18.9	8.1	63.7	-0.9264393716	0.7554932049	
1480	268.5	393	NI	942	NI	67	6.5	17/11/14	16/11/16	730	195.1	70.62	2	leve	High	eces	vencional	eces_vencional	4915	1029	4.86	311	38.4	17.8	6.7	67	0.1864524749	0.2529061863	
1481	350	459.5	NI	649	NI	206	5.3	17/11/14	16/11/16	730	176	56.32	2	pesado	Medium_high	eces	vencional	eces_vencional	4756	438	6.86	247	39	22.8	7.9	53.8	-2.101582606	-0.4912241471	
1485	340	487.5	NI	1074	NI	2938	8.8	24/11/14	17/10/16	693	133.64	40.2	1.91	pesado	Low	eces	produto	eces_produto	7845	1189	9.18	421	45.6	22.8	9.3	71.9	2.950959543	0.6284147098	
1493	338	448	NI	955	NI	609	6.7	04/12/14	17/10/16	683	141.27	42.87	1.84	pesado	Low	eces	vencional	eces_vencional	5112	9166	6.62	265	41.6	19.4	7.3	73	0.2121130039	-0.6195475014	
1494	262.5	370.5	NI	829	NI	2938	7.8	04/12/14	17/10/16	683	152	30.22	1.84	leve	Low	eces	produto	eces_produto	11237	9287	6.82	424	44.5	20.2	10.5	56.5	0.8229337102	0.07204717186	
1495	287	481.5	NI	1047	NI	2951	4.3	04/12/14	16/11/16	713	193.65	49.55	1.91	leve	Medium_high	eces	produto	eces_produto	5651	731	7.19	619	49	19.1	9.1	83.1	0.2336305252	1.703776652	
1496	340.5	464	NI	597	NI	1029	6.6	07/12/14	17/10/16	680	88.52	0	1.84	pesado	Low	eces	produto	eces_produto	6726	1176	5.82	442	54.9	19.6	8.1	61.7	0.59844382	1.086048813	
1498	324.5	516	NI	900	NI	977	3.1	07/12/14	16/11/16	710	183.68	71.71	1.91	leve	Medium_high	eces	produto	eces_produto	6757	642	8.79	814	56.7	23.3	10.4	92.5	-1.112121202	0.7773570623	
1500	340	443.5	NI	884	NI	7827	5.3	10/12/14	17/10/16	677	151.66	43.03	1.84	pesado	Low	eces	vencional	eces_vencional	11760	2986	7.79	396	54.5	26.2	9.8	61	-0.6340084707	-0.8621673832	
1501	336.5	536	NI	637	NI	2971	8.1	11/12/14	16/11/16	706	156.4	44.07	1.91	pesado	Medium_low	eces	produto	eces_produto	5054	975	6.89	599	53.8	16	8	79.1	1.896500411	0.8227976078	
1502	297.5	478	NI	790	NI	452	4.8	15/12/14	16/11/16	702	223.58	45.2	1.91	leve	High	eces	vencional	eces_vencional	3777	920	7.57	787	53.5	14.2	7.01	95.4	-0.1992413708	0.5214293383	
1503	363.5	484.5	NI	666	NI	2237	6.4	04/01/15	17/10/16	652	157.81	72.5	1.68	pesado	Medium_low	eces	produto	eces_produto	8545	1971	7.53	591	83.8	22.7	10.6	70.9	-0.1005104713	0.02785356114	
1504	279.5	446	NI	1274	NI	1	7.9	01/02/15	16/11/16	654	139.29	30.37	1.68	leve	Low	eces	produto	eces_produto	6659	1015	5.94	425	47	15.7	7.8	75.7	1.592757081	1.145065117	